species,year,rpn,rpn_var,rpw,rpw_var
Sablefish,1996,507423.935778938,300978082.195736,1940669.44807581,4613947101.66561
Sablefish,1997,477683.25230616,343905401.37768,1849906.95927056,4962603464.14847
Sablefish,1998,474721.383747383,414207793.005021,1678454.39881515,5330491854.07219
Sablefish,1999,527381.319022031,465175193.013511,1787552.75194,5564894431.40135
Sablefish,2000,456418.670664541,534479494.84355,1576329.51100116,6383295651.78233
Sablefish,2001,534667.736114156,496355362.39797,1780464.96451289,5641733825.32331
Sablefish,2002,550862.370076531,851541351.409081,1895430.97233041,10240562800.9508
Sablefish,2003,517480.679623475,672642341.421133,1710243.86050309,7270095123.3402
Sablefish,2004,540428.538413519,739320493.130597,1662756.84433787,7563053474.0479
Sablefish,2005,541998.022757405,809702170.096038,1654053.1408329,7689558825.69821
Sablefish,2006,570647.9568748,927651234.00766,1843874.26032535,9407685406.93507
Sablefish,2007,508652.597202997,652206688.562763,1627483.33734256,6517992370.95727
Sablefish,2008,461207.230362083,447122040.900036,1529817.54094118,5156247653.68976
Sablefish,2009,414790.228999521,635567200.832267,1399364.66603112,7057529043.17159
Sablefish,2010,458804.601058359,671940078.528152,1527951.13748988,7134661299.87214
Sablefish,2011,555539.155471857,933229268.84094,1680489.59848759,8768002530.10569
Sablefish,2012,444570.009839377,588391831.886982,1294052.94899453,4673873038.97078
Sablefish,2013,420521.253984591,417988672.754883,1292106.06750512,3776557680.45635
Sablefish,2014,484357.044525042,467374939.907179,1466833.4643357,4611201188.29854
Sablefish,2015,385812.087394723,343766364.434662,1200798.74023331,3710165697.1062
Sablefish,2016,495307.581517447,492920249.386556,1373264.43668669,3666737405.64644
Sablefish,2017,562034.928436251,1006596528.3914,1399137.37939179,4178679968.1014
Sablefish,2018,611082.163236244,717775124.84984,1260405.77415121,2844374753.94404
Sablefish,2019,899867.302986452,2642933896.24807,1798076.49445262,9783178552.31843
Sablefish,2020,1187004.42929184,2504628601.86299,2614325.66996867,11935075261.391
Sablefish,2021,1298073.97314406,2508593850.15925,2887670.5210691,11176623459.6139
Sablefish,2022,1516868.16510711,3971217714.32757,3580168.70128311,21441592296.5223
Sablefish,2023,1524153.15248083,5604104926.50511,3345927.83027528,26241972847.6939
