species,year,strata,rpn,rpn_var,rpw,rpw_var
Greenland turbot,1996,Aleutians,33439.8175391685,3386067.2557381,63975.8375874089,102699606.226905
Greenland turbot,1998,Aleutians,35895.804670521,46275088.9328032,186415.411122665,1226310295.88387
Greenland turbot,2000,Aleutians,20639.5511191742,13235278.6188014,103692.574501185,326178937.470846
Greenland turbot,2002,Aleutians,19217.3525483078,21540467.0119162,106849.564163749,632539770.909802
Greenland turbot,2004,Aleutians,14408.4551638048,22173923.7878214,74426.0264509375,467594522.763001
Greenland turbot,2006,Aleutians,6430.4336664476205,3154230.80417022,31392.8563329147,70414936.7274318
Greenland turbot,2008,Aleutians,5300.93094352977,2577865.39645137,28250.1568599479,67786106.1004816
Greenland turbot,2010,Aleutians,3110.95908806562,931133.195664974,18920.8298454439,35759053.4522403
Greenland turbot,2012,Aleutians,6677.27984797319,4094127.83499629,27723.5733090324,70874912.9569412
Greenland turbot,2014,Aleutians,5578.90875769734,1285407.02309284,20934.3489948381,18206004.9245307
Greenland turbot,2016,Aleutians,2962.17923590047,503766.587278869,11851.1764998197,7621883.71282474
Greenland turbot,2018,Aleutians,5256.83308939896,3658419.25629443,13600.0690412354,17232078.7110045
Greenland turbot,2020,Aleutians,4791.50844231295,2192331.6600068,13704.8102008749,17839530.9714092
Greenland turbot,2022,Aleutians,2921.93190987885,1113799.45166163,10307.5307957687,14517471.2956241
Greenland turbot,1997,Bering Sea,57216.3004824379,22719270.5015769,297630.683940853,520435249.590354
Greenland turbot,1999,Bering Sea,59182.4278124121,81460677.4238651,277428.23685209,1599915202.35892
Greenland turbot,2001,Bering Sea,52369.4254481134,34955946.0565981,228105.404500298,524833126.316324
Greenland turbot,2003,Bering Sea,45017.5015788632,112571006.829625,195957.433531063,1495443241.91145
Greenland turbot,2005,Bering Sea,23436.9283919283,12830879.2282932,100762.056808337,197200711.168713
Greenland turbot,2007,Bering Sea,17019.7363935607,17277351.9644832,75477.0852774824,334010753.904112
Greenland turbot,2009,Bering Sea,25744.1573173125,39426822.3567602,98339.8296577308,526353701.070725
Greenland turbot,2011,Bering Sea,14590.3531960252,10500925.147552,50554.7871460076,113379000.131255
Greenland turbot,2013,Bering Sea,19485.4747314245,23941707.6780839,71674.7069592414,279362742.202622
Greenland turbot,2015,Bering Sea,20930.4501549686,23967199.9108434,71113.8447055279,222406736.07288
Greenland turbot,2017,Bering Sea,20218.3931320785,20761489.3705687,51054.6968439358,119863125.424223
Greenland turbot,2019,Bering Sea,9950.89600931864,7030528.2520113,28971.8933184513,54642418.673247
Greenland turbot,2021,Bering Sea,15375.9874736386,9147174.14266661,49133.0996837091,84828839.204309
Greenland turbot,2023,Bering Sea,10279.1314037308,2928067.17268249,34119.6372816505,32567196.6846013
